country,code,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),Health: Total expenditure (% of GDP),Seats held by women in national parliaments %,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
french polynesia,PYF,4000,283,77.3,103.7,5135,1.6,18161,2.8,11.9,85.2,98,98,0.7,55.9,0.9,,,175,42.3,1,43
gabon,GAB,267668,2025,7.9,105.6,13735,3.9,7960.7,3.8,54.5,41.7,97,92,3.3,87.2,2.7,3.4,17.1,270,88.5,559,64
gambia,GMB,11295,2101,207.6,98,942,4.7,473.2,21.1,14.9,64,82,82,3.1,59.6,4.3,7.3,9.4,67,48.1,7,7
georgia,GEO,69700,3912,56.3,91.4,13965,2.8,3491.4,9,24.1,66.9,85,86,-1.4,53.6,-0.1,7.4,16,120,40.6,61,47
germany,DEU,357376,82114,235.6,97,3363600,1.7,41686.2,0.6,30.5,68.9,111,111,0.2,75.3,0.2,11.3,37,116,32.7,5004,158
ghana,GHA,238537,28834,126.7,99.3,37156,3.9,1355.6,19,26.9,54.1,144,144,2.4,54,3.4,3.6,12.7,238,40.9,410,14
gibraltar,GIB,6,35,3457.1,101.8,,,,,,,,,0.6,100,0.1,,,31,0,,259
greece,GRC,131957,11160,86.6,96.9,194860,-0.2,17788,4.1,15.7,80.2,86,87,-0.4,78,0.5,8.1,18.3,374,31.2,368,89
greenland,GRL,2166086,56,0.1,112.1,2078,0.3,36976.7,10,15.9,74.1,99,99,-0.1,86.4,0.7,,,23,,2,154
grenada,GRD,345,108,317.1,100.9,954,6.2,8933.8,8.3,13.9,77.8,103,103,0.4,35.6,0.3,6.1,33.3,54,50,0,35
guadeloupe,GLP,1705,450,266,86.4,,,,,,,100,100,-~0.0,98.4,0.5,,,73,43,5,80
guam,GUM,549,164,304.1,102.6,,,,,,,88,88,0.3,94.5,1.4,,,99,46.3,,
guatemala,GTM,108889,16914,157.8,96.9,63794,4.1,3903.5,10.8,27.2,62,158,158,2.1,51.6,3.4,6.2,12.7,290,33.4,327,32
